#timestep       power           acc-energy      avg-power       dt              acc-time       
1               41.778000       4.181017        41.778000       0.100077        0.100077       
2               42.292000       8.448830        42.036069       0.100913        0.200990       
3               36.636000       12.140786       40.232718       0.100774        0.301764       
4               36.055000       15.766368       39.188530       0.100557        0.402321       
5               35.192000       19.306085       38.389206       0.100583        0.502904       
6               33.827000       22.709961       37.628554       0.100626        0.603530       
7               33.726000       26.101481       37.071176       0.100561        0.704091       
8               33.747000       29.496126       36.655630       0.100591        0.804682       
9               33.425000       32.857210       36.296764       0.100556        0.905238       
10              33.487000       36.225299       36.015795       0.100579        1.005817       
11              33.502000       39.595064       35.787264       0.100584        1.106401       
12              33.468000       42.972421       35.593409       0.100913        1.207314       
13              34.160000       46.407618       35.483194       0.100562        1.307876       
14              34.829000       49.909744       35.436490       0.100552        1.408428       
15              34.979000       53.429996       35.405980       0.100639        1.509067       
16              34.055000       56.855963       35.321546       0.100601        1.609668       
17              34.437000       60.322150       35.269490       0.100653        1.710321       
18              34.240000       63.765633       35.212317       0.100569        1.810890       
19              34.193000       67.211295       35.158585       0.100771        1.911661       
20              34.386000       70.675410       35.119909       0.100742        2.012403       
21              34.223000       74.119202       35.077196       0.100628        2.113031       
22              34.203000       77.560229       35.037465       0.100606        2.213637       
23              33.903000       80.975515       34.988086       0.100737        2.314374       
24              34.250000       84.418908       34.957358       0.100537        2.414911       
25              34.047000       87.844955       34.920941       0.100627        2.515538       
26              34.133000       91.278428       34.890645       0.100591        2.616129       
27              34.246000       94.726247       34.866756       0.100678        2.716807       
28              33.858000       98.132937       34.830731       0.100617        2.817424       
29              33.952000       101.550953      34.800415       0.100672        2.918096       
30              34.232000       104.995205      34.781470       0.100615        3.018711       
31              33.740000       108.391642      34.747861       0.100665        3.119376       
32              33.750000       111.789255      34.716664       0.100670        3.220046       
33              25.308000       114.338606      34.431260       0.100733        3.320779       
34              23.992000       116.754696      34.124003       0.100704        3.421483       
35              24.166000       119.192030      33.838868       0.100858        3.522341       
36              24.139000       121.629901      33.568504       0.100993        3.623334       
37              32.361000       124.887359      33.535865       0.100660        3.723994       
38              34.117000       128.320791      33.551156       0.100637        3.824631       
39              33.968000       131.741675      33.561851       0.100709        3.925340       
40              34.192000       135.186040      33.577617       0.100736        4.026076       
41              34.316000       138.645093      33.595653       0.100800        4.126876       
42              34.008000       142.117344      33.605608       0.102101        4.228977       
43              35.099000       145.656200      33.640384       0.100825        4.329802       
44              35.395000       149.217185      33.680228       0.100607        4.430409       
45              35.131000       152.756001      33.712480       0.100732        4.531141       
46              35.696000       156.351373      33.755613       0.100722        4.631863       
47              35.368000       159.910632      33.789900       0.100635        4.732498       
48              35.212000       163.455248      33.819519       0.100665        4.833163       
49              35.904000       167.068447      33.862036       0.100635        4.933798       
50              34.908000       170.580646      33.882940       0.100613        5.034411       
51              34.317000       174.033759      33.891446       0.100624        5.135035       
52              34.573000       177.512080      33.904542       0.100608        5.235643       
53              34.177000       180.951756      33.909681       0.100643        5.336286       
54              34.209000       184.397286      33.915226       0.100720        5.437006       
55              25.618000       186.976634      33.764368       0.100685        5.537691       
56              23.221000       189.315639      33.576015       0.100728        5.638419       
57              23.419000       191.673535      33.397827       0.100683        5.739102       
58              22.959000       193.995746      33.217039       0.101146        5.840248       
59              24.127000       196.426324      33.062900       0.100741        5.940989       
60              23.877000       198.832982      32.909653       0.100794        6.041783       
61              31.943000       202.047789      32.893815       0.100642        6.142425       
62              33.857000       205.455395      32.909343       0.100647        6.243072       
63              33.796000       208.874773      32.923483       0.101177        6.344249       
64              33.531000       212.273576      32.933037       0.101363        6.445612       
65              34.016000       215.698136      32.949691       0.100675        6.546287       
66              33.773000       219.097862      32.962160       0.100664        6.646951       
67              33.612000       222.480909      32.971853       0.100650        6.747601       
68              34.322000       225.940087      32.991723       0.100786        6.848387       
69              34.969000       229.459087      33.020357       0.100632        6.949019       
70              34.391000       232.918650      33.039915       0.100595        7.049614       
71              33.857000       236.325036      33.051413       0.100611        7.150225       
72              33.857000       239.731186      33.062590       0.100604        7.250829       
73              33.787000       243.131138      33.072506       0.100629        7.351458       
74              33.658000       246.519691      33.080416       0.100676        7.452134       
75              34.107000       249.958768      33.094121       0.100832        7.552966       
76              33.696000       253.349360      33.102034       0.100623        7.653589       
77              33.592000       256.729958      33.108393       0.100637        7.754226       
78              33.744000       260.126022      33.116536       0.100642        7.854868       
79              25.242000       262.669886      33.016785       0.100779        7.955647       
80              22.919000       264.976179      32.890657       0.100628        8.056275       
81              23.847000       267.381912      32.778812       0.100882        8.157157       
82              25.311000       269.941107      32.687379       0.101110        8.258267       
83              34.508000       273.414648      32.709304       0.100659        8.358926       
84              36.429000       277.082611      32.753576       0.100688        8.459614       
85              36.160000       280.739544      32.793818       0.101132        8.560746       
86              36.501000       284.412275      32.836884       0.100620        8.661366       
87              37.011000       288.134323      32.884793       0.100566        8.761932       
88              36.581000       291.814554      32.926752       0.100605        8.862537       
89              36.725000       295.515406      32.969454       0.100772        8.963309       
90              36.383000       299.183613      33.007424       0.100822        9.064131       
91              36.721000       302.921333      33.048663       0.101787        9.165918       
92              37.944000       306.737741      33.101798       0.100580        9.266498       
93              49.837000       311.756775      33.281722       0.100709        9.367207       
94              48.944000       316.696253      33.448666       0.100921        9.468128       
95              47.080000       321.437679      33.592133       0.100710        9.568838       
